treeid,female,male,prov,block,plot,height,diameter,volume
191_1_1_1,191,0,10,1,1,10.7,15,0.0722
191_1_1_2,191,0,10,1,1,11.5,22,0.167
191_1_1_3,191,0,10,1,1,12.1,23.8,0.2056
191_1_1_4,191,0,10,1,1,12,22.7,0.1855
191_1_1_5,191,0,10,1,1,12.2,21.5,0.1692
191_1_1_6,191,0,10,1,1,12.5,22.8,0.1949
192_1_2_1,192,0,10,1,2,12.8,24.1,0.223
192_1_2_2,192,0,10,1,2,12,19.8,0.1411
192_1_2_4,192,0,10,1,2,13.9,23.4,0.2283
192_1_2_6,192,0,10,1,2,13.1,22.1,0.1919
170_1_3_1,170,0,10,1,3,12.5,19.6,0.1441
170_1_3_2,170,0,10,1,3,9,11.2,0.0339
170_1_3_5,170,0,10,1,3,10.7,17.8,0.1017
210_1_4_4,210,0,12,1,4,11.1,23.2,0.1792
210_1_4_5,210,0,12,1,4,11.5,21.6,0.161
210_1_4_6,210,0,12,1,4,11,17.5,0.1011
216_1_5_1,216,0,12,1,5,8.5,11.1,0.0314
216_1_5_2,216,0,12,1,5,13.4,18.9,0.1436
216_1_5_3,216,0,12,1,5,10.6,16.9,0.0908
216_1_5_4,216,0,12,1,5,8.8,13.7,0.0496
216_1_5_5,216,0,12,1,5,7.7,9,0.0187
216_1_5_6,216,0,12,1,5,11.8,24.4,0.2108
211_1_6_1,211,0,12,1,6,12.2,22.4,0.1836
211_1_6_2,211,0,12,1,6,9.5,15,0.0641
211_1_6_3,211,0,12,1,6,15.2,26.2,0.313
211_1_6_4,211,0,12,1,6,12.1,22.4,0.1821
211_1_6_5,211,0,12,1,6,12.4,23.3,0.202
211_1_6_6,211,0,12,1,6,11.3,20.2,0.1383
212_1_7_1,212,0,12,1,7,12.6,21.9,0.1813
212_1_7_2,212,0,12,1,7,11,17.9,0.1057
212_1_7_3,212,0,12,1,7,12.2,20.2,0.1493
212_1_7_4,212,0,12,1,7,11.5,19.4,0.1298
212_1_7_5,212,0,12,1,7,9.1,16.7,0.0761
212_1_7_6,212,0,12,1,7,10.5,18.3,0.1055
217_1_8_1,217,0,12,1,8,12.4,22.8,0.1934
217_1_8_3,217,0,12,1,8,12.7,23.3,0.2068
217_1_8_4,217,0,12,1,8,10.6,18.5,0.1088
217_1_8_5,217,0,12,1,8,12.3,20.8,0.1596
217_1_8_6,217,0,12,1,8,11.8,22.3,0.176
224_1_9_1,224,0,12,1,9,10.2,16.7,0.0853
224_1_9_2,224,0,12,1,9,11.9,22.8,0.1856
224_1_9_4,224,0,12,1,9,10.8,22.3,0.1611
224_1_9_6,224,0,12,1,9,9.3,14,0.0547
219_1_10_1,219,0,12,1,10,11.6,20.2,0.142
219_1_10_2,219,0,12,1,10,10.2,17.2,0.0905
219_1_10_3,219,0,12,1,10,10.5,20.2,0.1285
219_1_10_4,219,0,12,1,10,5.2,5.7,0.0051
219_1_10_5,219,0,12,1,10,10.5,19.4,0.1186
219_1_10_6,219,0,12,1,10,7.8,8.3,0.0161
